situation_id,id,intervener_id,gender,age,spatial_proximity,occupational_role,action
58.0,9c,9c_5,square 2,0,1,0,9.9
58.0,9c,9c_4,square 2,1,0,0,9.9
58.0,9c,9c_3,square 2,1,0,0,9.9
58.0,9c,9c_2,square 2,1,0,0,9.9
58.0,9c,9c_1,square 2,1,1,0,9.9
11.0,9b,9b_9,circle 2,0,0,0,9.9
11.0,9b,9b_6,square,0,1,0,9.9
11.0,9b,9b_5,square,0,1,0,9.9
11.0,9b,9b_8,circle,0,0,0,9.9
11.0,9b,9b_7,circle,0,0,0,9.9
11.0,9b,9b_4,circle,0,1,0,86
11.0,9b,9b_3,circle,0,1,0,67
11.0,9b,9b_2,circle,0,1,0,67
11.0,9b,9b_1,circle,0,1,0,16
79.0,9a,9a_3,triangle 2,1,1,1,86
79.0,9a,9a_9,square 2,0,1,0,9.9
79.0,9a,9a_8,circle 2,0,0,0,9.9
79.0,9a,9a_7,circle 2,0,0,0,9.9
79.0,9a,9a_6,circle 2,0,1,0,9.9
79.0,9a,9a_5,circle 2,0,1,0,9.9
79.0,9a,9a_4,circle 2,0,1,0,9.9
79.0,9a,9a_2,square,0,0,0,9.9
79.0,9a,9a_1,circle,0,1,0,9.9
25.0,7d,7d_5,circle,0,1,0,9.9
25.0,7d,7d_4,circle,0,0,0,86
25.0,7d,7d_3,circle,0,0,0,9.9
25.0,7d,7d_2,circle,0,0,0,86
25.0,7d,7d_1,circle,0,1,0,9.9
37.0,7c,7c_1,triangle,0,1,1,86
37.0,7c,7c_3,circle,0,1,0,16
37.0,7c,7c_2,circle,0,1,0,67
37.0,7c,7c_6,circle 2,0,1,0,9.9
37.0,7c,7c_5,circle 2,0,1,0,86
37.0,7c,7c_4,circle 2,1,1,0,86
66.0,7b,7b_1,triangle,0,1,1,86
56.0,7a,7a_1,triangle,0,1,1,9.9
56.0,7a,7a_6,square 2,0,0,0,86
56.0,7a,7a_5,square 2,0,0,0,86
56.0,7a,7a_4,square 2,0,0,0,86
56.0,7a,7a_3,square 2,0,0,0,9.9
56.0,7a,7a_2,square 2,0,0,0,9.9
77.0,5d,5d_1,triangle 2,0,0,1,86
77.0,5d,5d_2,circle 2,0,0,0,9.9
26.0,5c,5c_1,triangle,0,1,1,86
26.0,5c,5c_3,square 2,0,1,0,9.9
26.0,5c,5c_2,square 2,0,1,0,9.9
26.0,5c,5c_5,circle 2,0,1,0,9.9
26.0,5c,5c_4,circle 2,0,1,0,9.9
75.0,5b,5b_1,circle,0,1,0,67
75.0,5b,5b_2,circle,0,0,0,86
75.0,5b,5b_3,triangle 2,0,0,1,9.9
59.0,5a,5a_3,triangle 2,0,0,1,9.9
